{'meteor': 0.24527744982290434, 'bertscore_precision': 0.8457076549530029, 'bertscore_recall': 0.8510936498641968, 'bertscore_f1': 0.8483920693397522, 'rouge1_precision': 0.2608695652173913, 'rouge1_recall': 0.17142857142857143, 'rouge1_f1': 0.20689655172413796, 'rouge2_precision': 0.045454545454545456, 'rouge2_recall': 0.029411764705882353, 'rouge2_f1': 0.03571428571428571, 'rougeL_precision': 0.17391304347826086, 'rougeL_recall': 0.11428571428571428, 'rougeL_f1': 0.13793103448275862, 'cosine_similarity': 0.9265413}
{'meteor': 0.08826388888888889, 'bertscore_precision': 0.9202837944030762, 'bertscore_recall': 0.814318060874939, 'bertscore_f1': 0.8640642166137695, 'rouge1_precision': 0.11764705882352941, 'rouge1_recall': 0.7878787878787878, 'rouge1_f1': 0.20472440944881887, 'rouge2_precision': 0.05454545454545454, 'rouge2_recall': 0.375, 'rouge2_f1': 0.09523809523809523, 'rougeL_precision': 0.08597285067873303, 'rougeL_recall': 0.5757575757575758, 'rougeL_f1': 0.1496062992125984, 'cosine_similarity': 0.92962337}
{'meteor': 0.1302369565002129, 'bertscore_precision': 0.8539832830429077, 'bertscore_recall': 0.828355610370636, 'bertscore_f1': 0.8409742712974548, 'rouge1_precision': 0.1744186046511628, 'rouge1_recall': 0.375, 'rouge1_f1': 0.23809523809523814, 'rouge2_precision': 0.023529411764705882, 'rouge2_recall': 0.05128205128205128, 'rouge2_f1': 0.03225806451612903, 'rougeL_precision': 0.12790697674418605, 'rougeL_recall': 0.275, 'rougeL_f1': 0.17460317460317462, 'cosine_similarity': 0.94044566}
{'meteor': 0.0832214765100671, 'bertscore_precision': 0.8619133234024048, 'bertscore_recall': 0.8027721047401428, 'bertscore_f1': 0.8312921524047852, 'rouge1_precision': 0.08955223880597014, 'rouge1_recall': 0.46153846153846156, 'rouge1_f1': 0.15, 'rouge2_precision': 0.015037593984962405, 'rouge2_recall': 0.08, 'rouge2_f1': 0.02531645569620253, 'rougeL_precision': 0.07462686567164178, 'rougeL_recall': 0.38461538461538464, 'rougeL_f1': 0.12499999999999999, 'cosine_similarity': 0.90922993}
{'meteor': 0.11833365369797458, 'bertscore_precision': 0.8426996469497681, 'bertscore_recall': 0.8147832155227661, 'bertscore_f1': 0.828506350517273, 'rouge1_precision': 0.19047619047619047, 'rouge1_recall': 0.5, 'rouge1_f1': 0.27586206896551724, 'rouge2_precision': 0.03089887640449438, 'rouge2_recall': 0.08148148148148149, 'rouge2_f1': 0.044806517311608965, 'rougeL_precision': 0.08403361344537816, 'rougeL_recall': 0.22058823529411764, 'rougeL_f1': 0.12170385395537525, 'cosine_similarity': 0.9508563}
{'meteor': 0.17311608961303465, 'bertscore_precision': 0.8522197008132935, 'bertscore_recall': 0.8305447101593018, 'bertscore_f1': 0.8412426114082336, 'rouge1_precision': 0.23404255319148937, 'rouge1_recall': 0.2894736842105263, 'rouge1_f1': 0.2588235294117647, 'rouge2_precision': 0.021505376344086023, 'rouge2_recall': 0.02666666666666667, 'rouge2_f1': 0.023809523809523815, 'rougeL_precision': 0.14893617021276595, 'rougeL_recall': 0.18421052631578946, 'rougeL_f1': 0.16470588235294117, 'cosine_similarity': 0.93636477}
{'meteor': 0.01639344262295082, 'bertscore_precision': 0.8696942925453186, 'bertscore_recall': 0.7954241037368774, 'bertscore_f1': 0.8309028148651123, 'rouge1_precision': 0.023809523809523808, 'rouge1_recall': 0.75, 'rouge1_f1': 0.04615384615384615, 'rouge2_precision': 0.0, 'rouge2_recall': 0.0, 'rouge2_f1': 0.0, 'rougeL_precision': 0.015873015873015872, 'rougeL_recall': 0.5, 'rougeL_f1': 0.03076923076923077, 'cosine_similarity': 0.84167004}
{'meteor': 0.06139677666922486, 'bertscore_precision': 0.8422663807868958, 'bertscore_recall': 0.8087446093559265, 'bertscore_f1': 0.8251651525497437, 'rouge1_precision': 0.1044776119402985, 'rouge1_recall': 0.4117647058823529, 'rouge1_f1': 0.16666666666666669, 'rouge2_precision': 0.007518796992481203, 'rouge2_recall': 0.030303030303030304, 'rouge2_f1': 0.012048192771084336, 'rougeL_precision': 0.05970149253731343, 'rougeL_recall': 0.23529411764705882, 'rougeL_f1': 0.09523809523809523, 'cosine_similarity': 0.9295535}
{'meteor': 0.2227544910179641, 'bertscore_precision': 0.8304235935211182, 'bertscore_recall': 0.8703579902648926, 'bertscore_f1': 0.8499219417572021, 'rouge1_precision': 0.25, 'rouge1_recall': 0.07692307692307693, 'rouge1_f1': 0.11764705882352941, 'rouge2_precision': 0.09090909090909091, 'rouge2_recall': 0.02631578947368421, 'rouge2_f1': 0.04081632653061224, 'rougeL_precision': 0.16666666666666666, 'rougeL_recall': 0.05128205128205128, 'rougeL_f1': 0.07843137254901959, 'cosine_similarity': 0.8528097}
{'meteor': 0.14423076923076922, 'bertscore_precision': 0.8427965044975281, 'bertscore_recall': 0.8243525624275208, 'bertscore_f1': 0.833472490310669, 'rouge1_precision': 0.18421052631578946, 'rouge1_recall': 0.2, 'rouge1_f1': 0.1917808219178082, 'rouge2_precision': 0.0, 'rouge2_recall': 0.0, 'rouge2_f1': 0.0, 'rougeL_precision': 0.09210526315789473, 'rougeL_recall': 0.1, 'rougeL_f1': 0.0958904109589041, 'cosine_similarity': 0.91961944}
{'meteor': 0.06643558636626228, 'bertscore_precision': 0.8419405221939087, 'bertscore_recall': 0.7952258586883545, 'bertscore_f1': 0.817916750907898, 'rouge1_precision': 0.10497237569060773, 'rouge1_recall': 0.4318181818181818, 'rouge1_f1': 0.1688888888888889, 'rouge2_precision': 0.0, 'rouge2_recall': 0.0, 'rouge2_f1': 0.0, 'rougeL_precision': 0.06077348066298342, 'rougeL_recall': 0.25, 'rougeL_f1': 0.09777777777777777, 'cosine_similarity': 0.8588488}
